caso_id,caso,departamento,tipo,n_meses,n_apariciones,es_socioambiental,menciona_mineria
225,adjudicación de nuevos lotes urbanos,Arequipa,,1,1,0,0
441,"existe descontento de un sector de la población hacia la gestión del alcalde. Durante el mes de marzo la población se movilizó en protesta contra dicho funcionario, pretendiendo sacarlo del cargo por la fuerza. El 28 de abril de 2004 mediante sesión de Concejo se optó por iniciar el proceso de vacancia de acuerdo a lo prescrito en la Ley orgánica de municipalidades, esto es han iniciado las acciones correspondientes a fin de probar la causal de vacancia del alcalde, obtener un informe del auditor del Municipio en el que se establezca si se ha incurrido en nepotismo",Cajamarca,,5,6,0,1
578,el descontento de la población se debe a que supuestamente el alcalde permanece en el distrito sólo los fines de semana,Cusco,,4,5,0,0
579,no habría seguimiento a los procesos judiciales que se le siguen al anterior alcalde. Contra el PETT los cuestionamientos se deben a por constantes problemas y enfrentamientos entre comunidades como consecuencia de linderaje entre propiedades,Cusco,,1,1,0,0
580,"la alcaldesa es cuestionada porque estaría solicitando un adelanto de 70,000.00 dólares, del canon gasífero, supuestamente sin ninguna justificación. Se le acusa también de no encontrársele en la ciudad de Quillabamba por viajes constantes a la ciudad de Lima con fondos de la municipalidad",Cusco,,8,9,0,0
741,descontento de un sector de la población por la gestión del Municipio y el Gobierno regional. Se cuestiona supuesta falta de transparencia. Existe una amenaza de marcha de sacrificio de 3000 comuneros,Huancavelica,,1,1,0,0
742,"protesta por el nombramiento de docentes foráneos en mérito a lo dispuesto por la ley Nº 28197, inclusive se llegó a tomar el local donde se realizarían las adjudicaciones",Huancavelica,,1,1,0,0
836,"cuestionamiento a elecciones municipales y no ha dejado ingresar al alcalde desde el 2002. Además, cuando estas autoridades pretendieron ejercer sus funciones se originaron serios enfrentamientos, los mismos que ocasionaron la muerte de varias personas, entre ellas de un regidor. Cabe precisar que el Alcalde y sus regidores aún no ingresan al local municipal, ubicado en Chavinillo, y siguen sesionando en la localidad de Obas que está colindante a dicho lugar",Huánuco,,11,12,0,0
837,comuneros reclaman por el incumplimiento de la promesa electoral del actual alcalde de construir la carretera que une Jacas Grande con el Centro Poblado de Huacash Grande,Huánuco,,1,1,0,0
909,"pugnas y enfrentamientos entre los alcades distritales de Chincha y de San Vicente de Cañete que involucra a los pobladores de Nuevo Ayacucho, por la jurisdicción y demarcación territorial de la pampa de Melchorita donde está ubicada la planta de licuefacción de gas natural proveniente de Camisea",Ica,,1,1,0,1
910,"supuesta vulneración del derecho de acceso a la información, falta de obras y presunta malversación de fondos y apropiación ilícita. Población se posesionó del frontis de la municipalidad a fin de que la Contraloría de la República se constituyera en la zona e investigue al alcalde",Ica,,1,1,0,0
911,"supuestos actos de corrupción, incumplimiento de funciones y denegación de información. (intento de tomar la municipalidad)",Ica,,1,1,0,0
912,Los jefes de las comunidades nativas de Trompeteros intentaron tomar el local de la Municipalidad exigiendo la destitución del alcalde por incumplimiento de promesas y por supuestos malos manejos de los bienes y recursos municipales. El 7 de mayo los Apus regresaron a sus comunidades pero con la indicación de que si las autoridades no daban respuesta en 8 días regresarían a Villa Trompeteros en un número mucho mayor de personas para tomar medidas más drásticas,Ica,,4,5,0,0
1225,"disputa por el control de la Empresa Agroindustrial Cayaltí, lo que ha producido pugnas y enfrentamientos entre los propios pobladores",Lambayeque,,1,1,0,0
1226,"desalojo de comerciantes del Mercado Modelo, quienes el 28 de abril de 2004 secuestraron al Gerente de Servicio de Saneamiento del Municipio Provincial de Chiclayo durante veinte minutos entre las calles Héroes Civiles y Arica, exigiéndole que se paralicen los trabajos de remodelación en las inmediaciones del mercado antes mencionado. También intentaron tomar el local municipal",Lambayeque,,1,1,0,0
1122,"Pugna entre el señor Manuel Vargas Hilario, suspendido en su función de alcalde por dos años y que quiere reasumir el cargo pese a la suspensión, y la población, lo ha expulsado",La Libertad,,1,1,0,0
1123,descontento por la gestión del alcalde. Proceso de revocatoria,La Libertad,,1,3,0,0
1124,"descontento de un sector de la población por la gestión del alcalde por supuesta falta de transparencia en la gestión municipal, así como supuestos enriquecimiento ilícito, malversación de fondos, peculado, etc",La Libertad,,1,1,0,0
1125,"Los pobladores de ""Nueva Arenita"" han tomado conocimiento de que habían sido excluidos del Proyecto de Electrificación de Paiján II, en razón al informe del año 1999 elaborado por una arqueóloga, a pedido de la DGE. En dicho informe se concluye la existencia de restos arqueológicos en la zona ocupada por ellos desde 1993. Esta falta de comunicación con la población además de la falta de reacción de las instituciones para obtener la inspección del INC sobre la calidad de restos arqueológicos, han movilizado a la población llegando a tomar la Panamericana Norte. Es un conflicto no solucionado, de difícil diagnóstico pues no se sabe si será viable incluir a este sector en el proyecto que ya está siendo ejecutado y que los pretende excluir de la prestación de un servicio público básico para el desarrollo de sus actividades",La Libertad,,1,1,0,0
2006,Consideran que el alcalde está colaborando con la compañía minera Majaz,Piura,,1,1,0,1
2007,"Se señala que la ONPE ha inobservado el artículo 10° de la Ley de Participación Ciudadana lo que afecta la consulta de revocatoria del Alcalde por supuestas irregularidades, abusos y maltratos a los pobladores del distrito de Querecotillo",Piura,,9,10,0,0
2130,cuestionamiento a la gestión municipal y supuesto incumplimiento de promesas electorales,Puno,,1,1,0,0
2131,"cuestionamiento a la gestión municipal y supuesto incumplimiento de promesas electorales. Se le exigió el retiro de todos los funcionarios de confianza y servidores municipales contratados. Asimismo, se ha exigido al Alcalde el cumplimiento de las promesas electorales, suscribiéndose un acta, donde el Alcalde acepta los requerimientos de la población en lo que se refiere al retiro de trabajadores y ejecución de obras",Puno,,4,5,0,0
2132,"cuestionamiento a la gestión municipal por supuesto incumplimiento de promesas electorales e incumplimiento de la rendición de cuentas. Del mismo modo, se ha solicitado el retiro de regidores por causales de vacancia y el despido de funcionarios de confianza que no son oriundos de la zona. Inclusive se ha tomado el local de la municipalidad en una oportunidad",Puno,,4,5,0,0
2133,"Se ha constituido una Comisión Revisora de las Cuentas del Municipio, la cual ha solicitado información presupuestaria a la Municipalidad, incidiendo en los sueldos del Alcalde y los funcionarios y las dietas de los regidores. Se ha desarrollado los días 12 y 13 de abril una movilización convocada por el Frente de Defensa pidiendo la rebaja de los sueldos, indicándose que los regidores deben ganar lo que percibe un profesor, y que el Alcalde debe percibir la suma de S/. 1000. Esta demanda fue atendida por el alcalde y regidores. De otro lado, cerca al Tanque de Agua, ha aparecido una bandera roja con la hoz y el martillo, con un panfleto, en el que se convoca a un paro para el 17 de mayo",Puno,,4,5,0,0
2134,"el 10-11 de mayo tuvo lugar un paro contra acalde. Se tomó el local del municipio, se lacraron las puertas y una comisión integrada por un consejero regional, el subprefecto de Azángaro y dos regidores del municipio, designó a un regidor Eusebio Condori para que asuma las funciones del alcalde. El alcalde titular no se encuentra en la zona",Puno,,14,16,0,0
2135,"pobladores tomaron el local municipal, exigiendo la ejecución de obras. Del mismo modo, trabajadores municipales piden pago de remuneraciones. Luego de una reunión sostenida con el alcalde y la presencia de un representante del Ministerio Público, se llegó a un acuerdo, retirándose los manifestantes del local municipal",Puno,,5,6,0,0
2136,"protestas de la población contra la gestión del ex alcalde Cirilo Robles derivaron en el asesinato de dicha autoridad. Ahora los problemas se extienden al proceso penal y a las detenciones realizadas contra los supuestos autores de tal delito, así como al descontento de un sector de la población con relación a la proclamación del nuevo alcalde realizada por Jurado Nacional de Elecciones",Puno,,6,7,0,0
2298,"Hace tres meses que un grupo de pobladores ha tomado el local municipal para evitar que el alcalde ingrese y ejerza sus funciones, acusándolo de irregularidades en el ejercicio de sus funciones. Entonces alcalde ha trasladado su despacho a Juanjuí",San Martín,,1,1,0,0
2299,exigir la destitución del Gerente Sub Regional,San Martín,,1,1,0,0
2300,cuestionamiento a la gestión municipal,San Martín,,1,1,0,0
2301,cuestionamiento a la gestión municipal. Se tomó local municipal en abril del presente año produciéndose enfrentamientos entre distintos grupos de la población,San Martín,,1,1,0,0
2380,descontento por la gestión del alcalde pretenden expulsar al alcalde por presuntas irregularidades cometidas,Tacna,,1,1,0,0
2450,Conflictos por la propiedad de terrenos en asentamientos humanos de esta provincia que concluyeron posteriormente en una movilización que dio lugar a actos de vandalismo,Ucayali,,1,1,0,0
2451,concesiones forestales y sobreposición de tierras de comunidades nativas Ejemplo comunidad nativa ashaninka Chorinashi,Ucayali,,1,1,0,0
3,"Huancas, Provincia de Chachapoyas Eduardo Fausto Dilas Cerna, Alcalde Distrital Archivamiento del proceso iniciado en el Juzgado Penal de Chachapoyas contra el Alcalde de Huancas (Instrucción N° 010-2002), denunciado por delito contra el derecho de sufragio (supuesta falsificación de firmas para la inscripción de su candidatura). A partir de entonces, se cuestiona la actual gestión municipal a través de denuncias penales que generan un ambiente de tensión en el distrito. Fecha de inicio: 2002 La situación se mantiene en calma luego que, por mediación de la Defensoría del Pueblo, la autoridad municipal ofreció expedir una norma para regular los cabildos abiertos. Mientras se culmina el proceso judicial en curso, las agrupaciones políticas continúan cuestionando al actual Alcalde",Amazonas,,1,1,0,0
4,"Provincia de Utcubamba Juan Novoa Flores, Alcalde Provincial Presuntas irregularidades en la gestión edilicia es motivo de constantes cuestionamientos de la población. Ello devino en la apertura de un proceso de vacancia que fue declarado fundado el 8 de marzo por el Concejo Provincial con 10 votos a favor y 1 en contra. Fecha de inicio: Enero 2004 20 de mayo. El Fiscal Superior de Utcubamba desestimó un rumor que anunciaba que organizaciones locales de Bagua Grande procederían a tomar el local de la Municipalidad en esta ciudad, luego que el vacado Alcalde Provincial, quien actualmente enfrenta un juicio, anunciara sus pretensiones de volver a ocupar la Alcaldía. El Fiscal Superior informó que ello no era posible por encontrarse dicho funcionario con arresto domiciliario. 24 de mayo. El Frente Cívico por la Democracia y el Desarrollo de la provincia de Utcubamba convocó un paro regional y una movilización en protesta por la Resolución N° 096-2004-JNE que restituye en su puesto al Alcalde vacado. La marcha fue pacífica",Amazonas,,1,1,0,0
2650,"Quillo, Provincia de Yungay Juan Cruzado Navarro, Alcalde Distrital Por supuestas irregularidades en el manejo presupuestario, el 4 de diciembre de 2001 los pobladores tomaron el local municipal y bloquearon las puertas de ingreso. Actualmente, el Alcalde, quien tiene proceso penal abierto, despacha en oficinas alquiladas en el mismo distrito, pues La Municipalidad permanece cerrada y con constante vigilancia de la población. Fecha de inicio: Diciembre 2001 Hace dos semanas se inició en la Sala Penal de la Corte Superior del Santa, el juicio oral como parte del proceso penal que se le sigue al Alcalde",Áncash,,2,2,0,0
226,"Luis Aguirre Chávez, Alcalde Distrital Comerciantes de la Feria El Altiplano cuestionan la gestión municipal por problemas referidos a la seguridad, orden y delimitación de áreas. Fecha de inicio: Abril 2004 Continúan las reuniones de la mesa de diálogo con la mediación de la Defensoría del Pueblo. Esta ha realizado inspecciones con las autoridades competentes (Defensa Civil, Ministerio Público, Municipalidad, Salud, empresas de electricidad y saneamiento) y charlas de información. El plazo de funcionamiento de la mesa vence la próxima semana. No se han vuelto a presentar enfrentamientos o protestas",Arequipa,,1,1,0,0
227,"Majes, Provincia de Caylloma Víctor Huarca Usca, Alcalde Distrital, y AUTODEMA Adjudicatarios de parcelas de la Irrigación Majes en la provincia de Caylloma protestan por la adjudicación de nuevos lotes urbanos. Fecha de inicio: Mayo 2004 A pesar de no haberse solucionado el problema de manera definitiva, no se han presentado actos de violencia o enfrentamientos, asumiendo las partes, incluyendo la Autoridad Autónoma de Majes - AUTODEMA, que la solución depende del pronunciamiento de la Superintendencia de Bienes Nacionales",Arequipa,,1,1,0,0
323,"Provincia de Cangallo Oscar Tineo de la Cruz, Alcalde Provincial El Frente de Defensa ha cuestionado al Alcalde porque habría iniciado la remodelación del palacio municipal sin expediente técnico ni autorización del Concejo Provincial. Dicho Frente ha convocado a un paro provincial y ha intentado tomar el local. Fecha de inicio: Abril 2004 La Prefecta de Ayacucho viajó a Cangallo y verificó que existe malestar en la población por la construcción del Palacio Municipal, pero que las amenazas de toma de local se han disipado",Ayacucho,,17,19,0,0
324,"El 21 de mayo, estudiantes del Instituto Público Superior Nuestra Señora de Lourdes tomaron el local de la Dirección Regional de Educación, acusando a su Directora de nepotismo y de incumplir un acta por la cual se comprometió a salir del local donde opera (pertenece al Instituto). La funcionaria solicitó la intervención del Ministerio Público, el cual autorizó el ingreso de la Policía Nacional para desalojar a los estudiantes. Fecha de inicio: Mayo 2004",Ayacucho,,4,5,0,0
442,"Provincia de Cutervo Jorge Luis Paredes Guevara, Alcalde Provincial En marzo, la población descontenta por la gestión del Alcalde, se movilizó en protesta pretendiendo sacarlo del cargo por la fuerza. En sesión de Concejo del 28 de abril se optó por iniciar el proceso de vacancia de acuerdo a lo prescrito en la Ley Orgánica de Municipalidades (intentan probar, solicitando un informe del auditor del Municipio, que el Alcalde incurrió en nepotismo). Fecha de inicio: Marzo 2004 La Policía Nacional informó que no se han producido movilizaciones en la provincia desde marzo. El 19 de mayo, el Frente de Defensa de los Intereses de Cutervo convocó a diversas autoridades y representantes de la sociedad civil a una reunión en la que, entre otros temas, se analizaron las pruebas que presentaron un grupo de regidores para solicitar la vacancia del Alcalde. Se acordó que en la siguiente reunión, programada para el 27 de mayo, se discutiría la realización de un paro provincial",Cajamarca,,1,1,0,0
581,"Accha, Provincia de Paruro Ronald Núñez, Alcalde Distrital La población manifiesta descontento porque supuestamente el Alcalde permanece en el distrito sólo los fines de semana. Fecha de inicio: 2003",Cusco,,1,1,0,0
582,"Provincia de La Convención Fedia Castro, Alcaldesa Provincial La Alcaldesa es cuestionada porque estaría solicitando un adelanto de 70,000 dólares del canon gasífero sin ninguna justificación. Se le acusa también de no encontrársele en la ciudad de Quillabamba por viajes constantes a Lima con fondos de la Municipalidad. Fecha de inicio: Mayo 2004",Cusco,,1,1,0,0
743,Comunidad Campesina de Chopcca Gobierno Regional y Municipalidades de,Huancavelica,,1,1,0,0
744,"Yauli y Pucará Descontento de un sector de la población por la gestión de las Municipalidades y del Gobierno Regional. Se cuestiona la supuesta falta de transparencia. Existe la amenaza de una marcha de sacrificio. Fecha de inicio: Mayo 2004 Ante la amenaza de protesta, el Gobierno Regional de Huancavelica convocó a los representantes de la comunidad a una reunión, en la cual se adoptaron acuerdos concretos para atender las demandas de la comunidad. Sobre dicha reunión, el Gobierno Regional emitió una nota de prensa informativa",Huancavelica,,4,5,0,0
838,"Provincia de Yarowillca Abel Soto Ponciano, Alcalde Provincial La población, que cuestiona el resultado de las elecciones municipales, no ha dejado ingresar al Alcalde desde el año 2002. Cuando este pretendió ejercer sus funciones se originaron enfrentamientos, que ocasionaron la muerte de varias personas, entre ellas un regidor. El Alcalde y sus regidores sesionan en la localidad colindante de Obas. Fecha de inicio: Noviembre 2002 La Defensoría del Pueblo se reunió por separado con pobladores y autoridades de Chavinillo. El 4 de abril, en asamblea comunal, los pobladores aceptaron dialogar con el Alcalde. Posteriormente, en Huánuco, el Alcalde y sus regidores acordaron que la Oficina de Registro Civil volviera a funcionar en Chavinillo, lo cual se produjo a partir del 26 de abril. Actualmente, la Defensoría del Pueblo espera que la población nombre a sus representantes para iniciar las reuniones de diálogo con las autoridades municipales. Mientras tanto, continúa el proceso penal seguido contra el Alcalde",Huánuco,,4,4,0,0
839,"Jacas Grande, Provincia de Huamalíes Alcalde, Teniente Alcalde y un regidor Comuneros del Centro Poblado Menor de Huacash Grande reclaman por supuestos malos manejos de fondos y el incumplimiento de la promesa electoral hecha por el actual Alcalde de construir la carretera entre Jacas Grande y el Centro Poblado. Fecha: Mayo 2004 El Juez encargado de la denuncia dictó orden de detención contra la autoridad cuestionada, pero después la cambió por orden de comparecencia. La Defensoría del Pueblo puso este caso en conocimiento de la OCMA, en Lima",Huánuco,,4,5,0,0
1126,"Chao, Provincia de Virú Manuel Vargas Hilario, Alcalde Distrital El Alcalde fue suspendido en su función por dos años. En su intento de reasumir el cargo, la población lo expulsó. Fecha de inicio: 2002 El 13 de mayo se realizó la diligencia de reconstrucción de los hechos que ocasionaron la muerte de María Infantes Cisneros (ocurrida el 9 de octubre de 2003), siendo acusado el primer regidor Virgilio Liñán Joaquín, actual Alcalde encargado a partir de la suspensión del titular. La muerte se produjo mientras la fallecida, junto a otras ciudadanas, vigilaban las puertas del local municipal para evitar el ingreso del Alcalde encargado, por lo que este habría arremetido con un camión dejando mal herida a la víctima, quien falleció luego. La diligencia judicial enfrentó a los familiares de la víctima y algunos ciudadanos con el funcionario, al considerar que sus declaraciones eran falsas. Ello se suma a la protesta de otros funcionarios que denuncian la supuesta usurpación de funciones del ex-Alcalde, quien aprovechando la titularidad de la cuenta, estaría usando los fondos municipales",La Libertad,,1,1,0,0
1127,"Carabamba, Provincia de Julcán Luis Trujillo Guevara, Alcalde Distrital Descontenta por la gestión del Alcalde, la población del distrito ha iniciado un proceso de revocatoria. Fecha de inicio: 2004 No se han presentado nuevos enfrentamientos entre la población y el gobierno local. Mientras tanto, el proceso penal formulado contra el Alcalde Distrital, por el delito de peculado, continúa en trámite",La Libertad,,1,1,0,0
1128,"Huaso, Provincia de Julcán Vladimir Castro Arteaga, Alcalde Distrital Descontenta por la gestión del Alcalde, la población del distrito ha iniciado un proceso de revocatoria. Fecha de inicio: 2004 El Presidente del Comité de Defensa de los Intereses del distrito de Huaso, principal opositor del Alcalde, informó que esperan con tranquilidad el día de las revocatorias. No hay indicios de violencia. La Defensoría del Pueblo no pudo establecer contacto con el Alcalde",La Libertad,,1,1,0,0
1129,"Provincia de Santiago de Chuco Eberth Rojas Alipio, Alcalde Provincial Descontento de la población por la gestión del Alcalde. Fecha de inicio: 2004 La Gerente de la Municipalidad Provincial de Santiago de Chuco informó que el proyecto de agua potable para la ciudad será ejecutado por administración directa, como quería la población, por renuncia de la empresa adjudicada (renuncia aún no formalizada). Pese a ello, la Federación Provincial de Campesinos ha convocado un paro cívico para el 3 y 4 de junio, debido al presunto abandono de la Dirección Regional de Agricultura ante la sequía que afecta a los agricultores. La Gerente Municipal informó que solicitarán garantías personales",La Libertad,,1,1,0,0
1130,"Caserío de Nueva Arenita, distrito de Paiján, Provincia de Paiján Dirección General de Electricidad (DGE) e Instituto Nacional de Cultura (INC) La población del caserío tomó la carretera Panamericana luego de enterarse del informe para la DGE elaborado por una arqueóloga, que los excluía del Proyecto de Electrificación Paiján II, debido a la existencia de restos arqueológicos en la zona ocupada por ellos desde 1993. Fecha de inicio: Abril 2004 En una visita conjunta con la Defensoría del Pueblo, realizada el 06 de mayo, la Directora Departamental de Cultura del INC señaló la necesidad de precisar los puntos de instalación de la infraestructura eléctrica para que el INC pueda realizar una evaluación arqueológica. La Oficina Defensorial de La Libertad ha solicitado al Director Ejecutivo de Proyectos del Ministerio de Energía y Minas información sobre la posibilidad de incorporar al sector Nueva Arenita en el proyecto “Pequeño sistema eléctrico Paiján – II Etapa”, así como los datos de la empresa contratista encargada de suministros, obras civiles y montaje de la obra, y las características de las líneas y redes que serían necesarias instalar para que los moradores de Nueva Arenita cuenten con el servicio de energía eléctrica. Este funcionario respondió que, en atención a la recomendación efectuada, ha solicitado al Director de Registro y Estudio del Patrimonio Histórico del INC la formulación de alternativas al problema de electrificación de la localidad de Nueva Arenita",La Libertad,,5,5,0,0
1227,"Cayaltí, Provincia de Chiclayo Yehude Simon Munaro, Presidente Regional, y COFIDE La disputa por el control de la Empresa Agroindustrial Cayaltí ha producido pugnas y enfrentamientos entre los propios pobladores. Fecha de inicio: Febrero 2004 El 28 de mayo el Tercer Juzgado Civil de Chiclayo instaló al Directorio de la empresa, bajo la presidencia de COFIDE, con apoyo de la Policía Nacional, y bajo la supervisión de la Defensoría del Pueblo. Un grupo de unos 60 accionistas minoritarios protestaron, siendo dispersados por la Policía Nacional. Cuatro personas fueron detenidas durante la protesta y fueron puestas de inmediato a disposición de Seguridad del Estado y, porterioremente, del Médico Legista y la Fiscalía. Una estudiante de un Instituto Superior en Cayaltí fue atendida en el Centro de Salud de la localidad por efectos de la bombas lacrimógenas",Lambayeque,,3,4,0,0
1228,"Provincia de Chiclayo Arturo Castillo Chirinos, Alcalde Provincial El 28 de abril, luego del desalojo de comerciantes del Mercado Modelo, comerciantes informales secuestraron, durante veinte minutos, al Gerente de Servicio de Saneamiento del Municipio Provincial entre las calles Héroes Civiles y Arica, exigiéndole paralizar los trabajos de remodelación en las inmediaciones del mercado. También intentaron tomar el local municipal. Fecha de inicio: Abril 2004 Los comerciantes informales han ocupado nuevamente las calles de las que fueron desalojados. La Cámara de Comercio ha conformado una Comisión Multisectorial integradas por Colegios Profesionales, Defensa Civil, Municipalidad, representantes de comerciantes y Defensoría del Pueblo. La Comisión evaluando la problemática y analizando alternativas de solución",Lambayeque,,1,1,0,0
1464,"Putumayo, Provincia de Maynas Víctor Raúl Reátegui Paredes, Alcalde Distrital Supuesta vulneración del derecho de acceso a la información y presunta malversación de fondos y apropiación ilícita. Población se posesionó del frontis de la Municipalidad pidiendo que la Contraloría de la República se constituya en la zona e investigue al Alcalde. Fecha de inicio: Enero 2004 A inicios de año, la Defensoría del Pueblo coordinó, con la Municipalidad, Prefectura y Fiscalía Superior, una visita de funcionarios de la Contraloría General de la República, la cual se realizó el 8 de enero. Actualmente, ante la dilación de la investigación en el Ministerio Público, la población anuncia que adoptará nuevas medidas. El Juez Francisco Angeles (Segundo Juzgado Penal de Maynas) informó que el 20 mayo se realizaría una inspección ocular en la zona. Mientras tanto, la Fiscalía está a la espera del atestado, que fue elaborado esta semana por la Policía Nacional. Actualmente esta institución controla el orden interno",Loreto,,1,1,0,0
1465,"Jenaro Herrera, Provincia de Requena Magno Rogelio López Vela, Alcalde Distrital Supuestos actos de corrupción, incumplimiento de funciones y denegación de información. La población intentó tomar la Municipalidad. Fecha de inicio: 2004 Luego de visitar el distrito y entrevistar a autoridades y representantes de la sociedad civil, la Defensoría del Pueblo está preparando un Informe sobre Restricción Arbitraria al Acceso a la Información. Posteriormente, se solicitó al Prefecto, Fiscal Superior de Loreto y Policía Nacional que adopten las medidas preventivas del caso",Loreto,,1,1,0,0
1466,"Aldo Schrader Vargas, Alcalde Distrital Los jefes de las comunidades nativas de Trompeteros intentaron tomar el local de la Municipalidad exigiendo la destitución del Alcalde por incumplimiento de promesas y supuestos malos manejos de bienes y recursos municipales. Fecha de inicio: Abril 2004 La Defensoría del Pueblo realizó coordinaciones con la Prefectura y el Ministerio Público, entrevistó a los jefes de las comunidades, y visitó la zona para informar sobre derechos, exhortar a la no violencia y supervisar la inspección ocular realizada por el Juez del Cuarto Juzgado Penal de Maynas, el Fiscal de Prevención del Delito y la Procuradora Pública Anticorrupción de Loreto. El 7 de mayo, los Apus regresaron a sus comunidades, indicando que si las autoridades no daban respuesta en 8 días regresarían en mayor número para tomar medidas más drásticas. Actualmente, la Policía Nacional está elaborando su atestado, y está pendiente el Informe de Contraloría. La Defensoría del Pueblo está efectuando el seguimiento respectivo",Loreto,,1,1,0,0
5,"El 8 de mayo, ex trabajadores de la Gerencia Sub Regional de Alto Amazonas y partidarios del partido UNIPOL tomaron el local institucional, solicitando la renuncia del Gerente y la realización de una auditoria de su gestión. Fecha de inicio: Mayo 2004 Esta semana se suspendió la medida de fuerza luego de la llegada del Vicepresidente Regional, dos auditores, un asesor legal y dos Consejeros Regionales, quienes realizarán la auditoria solicitada",Amazonas,,8,9,0,0
6,"Lagunas, Provincia de Alto Amazonas Alcalde Distrital, Regidores y funcionarios Debido a no ser posible el proceso de revocatoria de su autoridad al haberse vencido los plazos para la presentación de firmas ante el Jurado Nacional de Elecciones, el Frente de Defensa y Desarrollo de Lagunas – FREDEL tomó el local municipal enfrentándose con militantes de Perú Posible. Se registraron daños a la propiedad y más de 45 personas lesionadas con heridas punzo cortantes. Fecha de inicio: Abril 2004 La Defensoría del Pueblo constató que dos pacientes fueron derivados a Yurimaguas: uno fue dado de alta y el señor Germán Yuyarima Coachi, quien presenta un traumatismo ocular cerrado (catarata traumática del ojo izquierdo) fue derivado al Instituto Especializado de Oftalmología de Lima. También se ha verificado que las investigaciones policiales se encuentran avanzadas y que sólo esperan la concurrencia de algunos dirigentes para tomarles sus declaraciones. Por otro lado, se ha exhortado a los dirigentes del FREDEL a mantener la calma y a brindar a la población información sobre el avance de las investigaciones policiales",Amazonas,,1,1,0,0
