Grupo,CasoResumidoChatGPT,EsMinera,EsIlegal,EsInformal,Pueblos,Minas,Compañía minera,Completo,PrimeraFecha_min,UltimaFecha_max,GrupoID,Departamento,Tipo_estandarizado,Caso,Actores,Actores primarios,Actores secundarios,Actores terciarios,caso_id,n_meses,n_filas_panel,numero_reporte_min,numero_reporte_max,es_socioambiental,menciona_mineria,ubicacion,fuente_resumen,caso_estandarizado
Caso_3516,"La comunidad campesina de Huancuire señala que la empresa Minera Las Bambas no estaría cumpliendo los compromisos asumidos en el convenio marco acordado entre las partes, y que se estaría realizando actividades en terrenos que tienen procesos judiciales pendientes de resolver.",Sí,No,No,"Distrito de Coyllurqui, provincia de Cotabambas, departamento de Apurímac",['Las Bambas'],['Las Bambas'],1,2021-07-31,2026-07-31,Caso_3516,APURÍMAC,SOCIOAMBIENTAL,"La comunidad campesina de Huancuire señala que la empresa Minera Las Bambas no estaría cumpliendo los compromisos asumidos en el convenio marco acordado entre las partes, y que se estaría realizando actividades en terrenos que tienen procesos judiciales pendientes de resolver. Asimismo, solicitan que se atienda la presunta contaminación ambiental de los recursos hídricos de la zona, y el reinicio de la consulta previa",,"Comunidad campesina de Huancuire, empresa Minera Las Bambas S.A., Ministerio de Energía y Minas (MINEM)","Ministerio de Energía y Minas (MINEM), Ministerio de Justicia y Derechos Humanos (MINJUSDH), Organismo de Evaluación y Fiscalización Ambiental, Policía Nacional del Perú, Subprefectura de Coyllurqui","Oficina General de Diálogo y Gestión Social del Ministerio de Energía y Minas (OGGS-MINEM), Secretaría de Gestión Social y Diálogo de la Presidencia del Consejo de Ministros (SGSD-PCM), Defensoría del Pueblo",3516,44,44,209,269,1,1,"Distrito de Coyllurqui, provincia de Cotabambas, departamento de Apurímac",extractivo_caso (no ChatGPT),comunidad campesina huancuire senala empresa minera bambas no estaria cumpliendo compromisos asumidos convenio marco acordado entre partes estaria realizando actividades terrenos tienen procesos judiciales pendientes resolver asimismo solicitan atienda presunta contaminacion ambiental recursos hidricos zona reinicio consulta previa
Caso_3517,"La comunidad campesina de Choaquere señala que la empresa Minera Las Bambas habría incumplido sus compromisos de responsabilidad social en los ejes de salud, educación, trabajo, desarrollo empresarial, entre otros, conforme al contrato de compraventa y de actas firmadas, así como las obligaciones ambientales de su estudio de impacto ambiental.",Sí,No,No,"Comunidad campesina de Choaquere, distrito de Challhuahuacho, provincia de Cotabambas, departamento de Apurímac",['Las Bambas'],['Las Bambas'],1,2021-08-31,2023-12-31,Caso_3517,APURÍMAC,SOCIOAMBIENTAL,"La comunidad campesina de Choaquere señala que la empresa Minera Las Bambas habría incumplido sus compromisos de responsabilidad social en los ejes de salud, educación, trabajo, desarrollo empresarial, entre otros, conforme al contrato de compraventa y de actas firmadas, así como las obligaciones ambientales de su estudio de impacto ambiental. Asimismo, señala que la controversia por la toma de posesión del predio transferido sea resuelta a través del diálogo",,"Comunidad campesina de Choaquere, empresa Minera Las Bambas S.A","Ministerio de Energía y Minas, Ministerio de Energía y Minas (MINEM), Ministerio de Justicia y Derechos Humanos (MINJUSDH), Ministerio de Salud (MINSA), Ministerio de Comercio Exterior y Turismo (MINCETUR), Policía Nacional del Perú (PNP)","Oficina General de Diálogo y Gestión Social del Ministerio de Energía y Minas (OGGS-MINEM), Secretaría de Gestión Social y Diálogo de la Presidencia del Consejo de Ministros (SGSD-PCM), Defensoría del Pueblo",3517,29,29,210,238,1,1,"Comunidad campesina de Choaquere, distrito de Challhuahuacho, provincia de Cotabambas, departamento de Apurímac",extractivo_caso (no ChatGPT),comunidad campesina choaquere senala empresa minera bambas habria incumplido sus compromisos responsabilidad social ejes salud educacion trabajo desarrollo empresarial entre otros conforme contrato compraventa actas firmadas asi como obligaciones ambientales su estudio impacto ambiental asimismo senala controversia toma posesion predio transferido sea resuelta traves dialogo
Caso_3523,": La comunidad campesina de Carmen Alto solicita a la empresa Minera Las Bambas la revisión y cumplimiento de los compromisos sociales asumidos a favor de la comunidad, mitigación de impactos ambientales en la comunidad, la instalación de una mesa de diálogo para el desarrollo sostenible de la comunidad y la devolución de territorios comunales",Sí,No,No,"Distrito de Challhuahuacho, provincia de Cotabambas, región Apurímac",['Las Bambas'],['Las Bambas'],1,2022-08-31,2024-09-30,Caso_3523,APURÍMAC,SOCIOAMBIENTAL,": La comunidad campesina de Carmen Alto solicita a la empresa Minera Las Bambas la revisión y cumplimiento de los compromisos sociales asumidos a favor de la comunidad, mitigación de impactos ambientales en la comunidad, la instalación de una mesa de diálogo para el desarrollo sostenible de la comunidad y la devolución de territorios comunales",,"Comunidad campesina de Carmen Alto, empresa Minera Las Bambas S.A",Ministerio de Energía y Minas (MINEM),"Oficina General de Diálogo y Gestión Social del Ministerio de Energía y Minas (OGGS-MINEM), Secretaría de Gestión Social y Diálogo de la Presidencia del Consejo de Ministros (SGSD-PCM), Defensoría del Pueblo",3523,26,26,222,247,1,1,"Distrito de Challhuahuacho, provincia de Cotabambas, región Apurímac",extractivo_caso (no ChatGPT),comunidad campesina carmen alto solicita empresa minera bambas revision cumplimiento compromisos sociales asumidos favor comunidad mitigacion impactos ambientales comunidad instalacion mesa dialogo para desarrollo sostenible comunidad devolucion territorios comunales
Caso_3526,"La comunidad campesina de Pumamarca rechaza el proyecto de exploración minera en el Sector de Sallahue y exige la devolución de las tierras que fueron vendidas a la empresa minera Las Bambas, indicando que el pago por las tierras fue significativamente inferior a su valor real",Sí,No,No,"Distrito de Tambobamba, provincia de Cotabambas, región Apurímac",['Las Bambas'],['Las Bambas'],1,2024-08-31,2024-09-30,Caso_3526,APURÍMAC,SOCIOAMBIENTAL,"La comunidad campesina de Pumamarca rechaza el proyecto de exploración minera en el Sector de Sallahue y exige la devolución de las tierras que fueron vendidas a la empresa minera Las Bambas, indicando que el pago por las tierras fue significativamente inferior a su valor real",,"Comunidad campesina de Pumamarca, empresa Minera Las Bambas","Ministerio de Energía y Minas (MINEM), Gobierno Regional de Apurímac, alcalde provincial de Cotabambas, Subprefectura de Chahuallhuacho-Cotabambas, Prefectura Regional de Apurímac, Policía Nacional del Perú","Oficina General de Diálogo y Gestión Social del Ministerio de Energía y Minas (OGGS-MINEM), Secretaría de Gestión Social y Diálogo de la Presidencia del Consejo de Ministros (SGSD-PCM), Defensoría del Pueblo",3526,2,2,246,247,1,1,"Distrito de Tambobamba, provincia de Cotabambas, región Apurímac",extractivo_caso (no ChatGPT),comunidad campesina pumamarca rechaza proyecto exploracion minera sector sallahue exige devolucion tierras fueron vendidas empresa minera bambas indicando pago tierras fue significativamente inferior su valor real
Caso_3428,"NUEVO El 18 de agosto de 2014 se inició una huelga general indefinida. El 26, Shougang Hierro Perú S.A.A. mediante un comunicado público señaló que ha efectuado una oferta razonable, mencionando que otras empresas mineras con ingresos y utilidades mayores que ella han aumentado el salario básico entre cuatro a cinco soles por día.",Sí,No,No,,['Shougang'],['Shougang'],1,2014-08-31,2014-08-31,Caso_3428,APURÍMAC,SOCIOAMBIENTAL,"NUEVO El 18 de agosto de 2014 se inició una huelga general indefinida. El 26, Shougang Hierro Perú S.A.A. mediante un comunicado público señaló que ha efectuado una oferta razonable, mencionando que otras empresas mineras con ingresos y utilidades mayores que ella han aumentado el salario básico entre cuatro a cinco soles por día. El 2 de septiembre se conoció que Shougang se declaró en “fuerza mayor” con el objetivo de evitar el pago de daños y perjuicio derivados del incumplimiento de sus obligaciones contractuales de envío de minerales pactadas con sus clientes. Además, en la tarde del día 3, se conoció que obreros de la empresa Shougang realizaron una marcha pacífica desde la ciudad de Ica hasta el distrito de Salas Guadalupe, restringiendo el tránsito vehicular. Por su parte, el Ministerio de Trabajo informó que la Dirección Regional de Trabajo está a cargo del conflicto laboral entre el sindicato y la empresa. Junín (7 casos) Descripción Estado actual",,,,,3428,1,1,126,126,1,1,,extractivo_caso (no ChatGPT),nuevo 18 agosto 2014 inicio huelga general indefinida 26 shougang hierro peru s mediante comunicado publico senalo ha efectuado oferta razonable mencionando otras empresas mineras ingresos utilidades mayores ella han aumentado salario basico entre cuatro cinco soles dia 2 septiembre conocio shougang declaro fuerza mayor objetivo evitar pago danos perjuicio derivados incumplimiento sus obligaciones contractuales envio minerales pactadas sus clientes ademas tarde dia 3 conocio obreros empresa shougang realizaron marcha pacifica desde ciudad ica hasta distrito salas guadalupe restringiendo transito vehicular su parte ministerio trabajo informo direccion regional trabajo esta cargo conflicto laboral entre sindicato empresa junin 7 casos descripcion estado actual
Caso_3429,"Los trabajadores mineros de Shougang Hierro Perú reclaman la atención de su pliego de reclamos del periodo 2014-2015 que incluye el incremento de salarios, la instalación de un centro asistencial médico, el cumplimiento de acuerdo de laudo arbitral laboral, cumplimiento de normas de seguridad e higiene minera, entre otros",Sí,No,No,"Distrito de Marcona, provincia de Nazca",['Shougang'],['Shougang'],1,2014-08-31,2014-08-31,Caso_3429,APURÍMAC,LABORAL,"Los trabajadores mineros de Shougang Hierro Perú reclaman la atención de su pliego de reclamos del periodo 2014-2015 que incluye el incremento de salarios, la instalación de un centro asistencial médico, el cumplimiento de acuerdo de laudo arbitral laboral, cumplimiento de normas de seguridad e higiene minera, entre otros",,"Sindicato de Obreros Mineros, Shougang Hierro Perú S.A.A",,Dirección Regional de Trabajo de Ica. Ministerio de Trabajo y Promoción del Empleo (MINTRA),3429,1,1,126,126,0,1,"Distrito de Marcona, provincia de Nazca",extractivo_caso (no ChatGPT),trabajadores mineros shougang hierro peru reclaman atencion su pliego reclamos periodo 2014 2015 incluye incremento salarios instalacion centro asistencial medico cumplimiento acuerdo laudo arbitral laboral cumplimiento normas seguridad e higiene minera entre otros
Caso_3482,"Agricultores de la Junta de Usuarios de los Distritos de Riego de Tacna, se oponen al proyecto “Ampliación de la Concentradora Toquepala y Recrecimiento del Embalse de Relaves de Quebrada Honda”, a cargo de Southern Perú Copper Corporation porque, entre otras demandas, restaría agua a la actividad agrícola",Sí,No,No,"Distritos de Ilabaya y Locumba, provincia Jorge Basadre",['Toquepala'],['Southern'],1,2014-08-31,2014-08-31,Caso_3482,APURÍMAC,SOCIOAMBIENTAL,"Agricultores de la Junta de Usuarios de los Distritos de Riego de Tacna, se oponen al proyecto “Ampliación de la Concentradora Toquepala y Recrecimiento del Embalse de Relaves de Quebrada Honda”, a cargo de Southern Perú Copper Corporation porque, entre otras demandas, restaría agua a la actividad agrícola",Nacional del Agua (ANA),"Junta de Usuarios del Distrito de Riego de Candarave, Tarata, Locumba, Sama, La Yarada y Tacna, frentes de defensa de Tacna, Candarave e Ilabaya, empresa minera Southern Perú Copper Corporation (SPCC), Gobierno Regional de Tacna, municipalidades provinciales de Tacna, Candarave, Tarata y Jorge Basadre, municipalidades distritales de la región Tacna","Ministerio de Energía y Minas (MINEM), Ministerio del Ambiente (MINAM), Dirección Regional de Energía y Minas, Presidencia del Consejo de Ministros (PCM),",Defensoría del Pueblo,3482,1,1,126,126,1,1,"Distritos de Ilabaya y Locumba, provincia Jorge Basadre",extractivo_caso (no ChatGPT),agricultores junta usuarios distritos riego tacna oponen proyecto ampliacion concentradora toquepala recrecimiento embalse relaves quebrada honda cargo southern peru copper corporation porque entre otras demandas restaria agua actividad agricola
Caso_3402,"Sector de pobladores y autoridades del distrito de La Encañada demandan a la empresa minera Yanacocha S.R.L., el cumplimiento de compromisos pendientes y firma de un acuerdo social, para el financiamiento de proyectos de inversión por parte de la Municipalidad Distrital de La Encañada",Sí,No,No,Distrito de La Encañada,['Yanacocha'],['Newmont'],1,2014-08-31,2014-08-31,Caso_3402,APURÍMAC,SOCIOAMBIENTAL,"Sector de pobladores y autoridades del distrito de La Encañada demandan a la empresa minera Yanacocha S.R.L., el cumplimiento de compromisos pendientes y firma de un acuerdo social, para el financiamiento de proyectos de inversión por parte de la Municipalidad Distrital de La Encañada",,"Población de los caseríos y centros poblados del distrito de La Encañada, empresa minera Yanacocha S.R.L., Municipalidad Distrital de La Encañada","Gobierno Regional de Cajamarca, Municipalidad Provincial de Hualgayoc, Ministerio del Ambiente, Organismo de Evaluación y Fiscalización Ambiental (OEFA)","Oficina General de Gestión Social del Ministerio de Energía y Minas, Gobernación Regional de Cajamarca, Defensoría del Pueblo, Oficina Nacional de Diálogo y Sostenibilidad de la Presidencia de Consejo de Ministros (ONDS-PCM)",3402,1,1,126,126,1,1,"Distrito de La Encañada, provincia de Cajamarca",extractivo_caso (no ChatGPT),sector pobladores autoridades distrito encanada demandan empresa minera yanacocha s r l cumplimiento compromisos pendientes firma acuerdo social para financiamiento proyectos inversion parte municipalidad distrital encanada
Caso_3404,"Autoridades, representantes de organizaciones de la sociedad civil y comuneros de las provincias de Cajamarca, Celendín y Hualgayoc demandan que se declare la inviabilidad del proyecto de exploración minero Conga de la empresa minera Yanacocha S.R.L., por los impactos ambientales negativos susceptibles de generarse en el ambiente, ante la presunta afectación a cuatro lagunas consideradas como cabecera de cinco cuenca",Sí,No,No,Distrito de La Encañada,['Yanacocha'],['Newmont'],1,2014-08-31,2014-08-31,Caso_3404,APURÍMAC,SOCIOAMBIENTAL,"Autoridades, representantes de organizaciones de la sociedad civil y comuneros de las provincias de Cajamarca, Celendín y Hualgayoc demandan que se declare la inviabilidad del proyecto de exploración minero Conga de la empresa minera Yanacocha S.R.L., por los impactos ambientales negativos susceptibles de generarse en el ambiente, ante la presunta afectación a cuatro lagunas consideradas como cabecera de cinco cuencas hidrográficas","Nacional del Agua, presidente de la Cámara de Comercio de Cajamarca, decano del Colegio de Abogados de Cajamarca, Universidad Nacional de Cajamarca, Ministerio del Interior, Ministerio de Inclusión y Desarrollo Social, Ministerio de Transportes y Comunicaciones, Ministerio de Vivienda y Saneamiento, Grupo de Formación e Intervención para el Desarrollo Sostenible (GRUFIDES)","Gobierno Regional de Cajamarca, Frente de Defensa Ambiental de Cajamarca, Frente de Defensa de los Intereses de Cajamarca, asociación civil Plataforma Interinstitucional Celendina (PIC), empresa minera Yanacocha S.R.L. (Proyecto Minero Conga), Municipalidad Distrital de Huasmín, Municipalidad Distrital de Sorochuco, Municipalidad Provincial de Celendín, Municipalidad Distrital de Bambamarca, Municipalidad Provincial de Cajamarca, Municipalidad Distrital de La Encañada, Ministerio de Energía y Minas, Ministerio del Ambiente, Presidencia de Consejo de Ministros, Central Única de Rondas Campesinas del Perú (CUNARC-Perú)","Gobernador de la Región Cajamarca,","Sacerdotes Miguel Cabrejos y Gastón Garatea, Defensoría del Pueblo",3404,1,1,126,126,1,1,"Distritos de Huasmín y Sorochuco, provincia de Celendín, distrito de La Encañada, provincia de Cajamarca",extractivo_caso (no ChatGPT),autoridades representantes organizaciones sociedad civil comuneros provincias cajamarca celendin hualgayoc demandan declare inviabilidad proyecto exploracion minero conga empresa minera yanacocha s r l impactos ambientales negativos susceptibles generarse ambiente ante presunta afectacion cuatro lagunas consideradas como cabecera cinco cuencas hidrograficas
Caso_3408,Autoridades y pobladores del distrito de Los Baños del Inca exigen que la Empresa Minera Yanacocha S.R.L. respete lo dispuesto por la Ordenanza N° 051-2006-MDBI a través de la cual se creó el área de conservación municipal en torno a la microcuenca del río Quinuario y en parte de las microcuencas de los ríos Grande y Mashcon.,Sí,No,No,"Distrito de Los Baños del Inca, provincia de Cajamarca",['Yanacocha'],['Newmont'],1,2014-08-31,2014-08-31,Caso_3408,APURÍMAC,SOCIOAMBIENTAL,"Autoridades y pobladores del distrito de Los Baños del Inca exigen que la Empresa Minera Yanacocha S.R.L. respete lo dispuesto por la Ordenanza N° 051-2006-MDBI a través de la cual se creó el área de conservación municipal en torno a la microcuenca del río Quinuario y en parte de las microcuencas de los ríos Grande y Mashcon. Exigen que, consecuentemente, paralice las actividades de exploración que viene desarrollando en la zona",,"Municipalidad Distrital de Los Baños del Inca, Comité de Gestión del Recurso Hídrico, Comisión Especial de Defensa de la Ordenanza N° 051-2006-MDBI, Empresa Minera Yanacocha S.R.L","34° Juzgado Civil de la Corte Superior de Lima, Fiscalía Especializada en Materia Ambiental de Cajamarca y el Organismo de Evaluación y Fiscalización Ambiental con sede en Cajamarca",Oficina Nacional de Diálogo y Sostenibilidad de la Presidencia de Consejo de Ministros (ONDS-PCM),3408,1,1,126,126,1,1,"Distrito de Los Baños del Inca, provincia de Cajamarca",extractivo_caso (no ChatGPT),autoridades pobladores distrito banos inca exigen empresa minera yanacocha s r l respete lo dispuesto ordenanza n 051 2006 mdbi traves cual creo area conservacion municipal torno microcuenca rio quinuario parte microcuencas rios grande mashcon exigen consecuentemente paralice actividades exploracion viene desarrollando zona
Caso_597,pobladores de la Provincia de Espinar demandan a la empresa minera Xtrata Copper – Proyecto Tintaya Antapacay ampliar los aportes al desarrollo socioeconómico; cerrar o reubicar la presa de relaves de Huinipampa; y asumir compromisos ambientales ante posibles impactos susceptibles de generarse como consecuencia de sus actividades en la zona,Sí,No,No,Provincia de Espinar,['Antapaccay'],['Antapaccay'],1,2013-05-31,2013-05-31,Caso_597,AREQUIPA,SOCIOAMBIENTAL,pobladores de la Provincia de Espinar demandan a la empresa minera Xtrata Copper – Proyecto Tintaya Antapacay ampliar los aportes al desarrollo socioeconómico; cerrar o reubicar la presa de relaves de Huinipampa; y asumir compromisos ambientales ante posibles impactos susceptibles de generarse como consecuencia de sus actividades en la zona,,"Frente de Defensa de los Intereses de Espinar (FUDIE), Federación Unificada de Campesinos de Espinar (FUCAE), Asociación de Urbanizaciones Populares de Espinar (AUPE), Frente Único de Jóvenes Espinarenses (FUJEK), Sindicato Único de Comerciantes del Mercado de Espinar (SUCME), Sindicato Único de Trabajadores de la Educación Peruana - Espinar (SUTEP), Asociación de Transportistas (AEMTRAPE), comunidades campesinas y municipalidades distritales de Espinar, Municipalidad Provincial de Espinar y empresa minera Xstrata Copper S.A","Ministerio de Energía y Minas (MINEM), Ministerio del Ambiente (MINAM), Ministerio de Salud (MINSA), Ministerio de Agricultura (MINAG), Presidencia del Consejo de Ministros (PCM), Autoridad Nacional del Agua(ANA), Instituto Geológico Minero Metalúrgico ( INGEMMET), Centro Nacional de Salud Ocupacional y Protección del Ambiente para la Salud (CENSOPAS), Ministerio de Vivienda, Construcción y Saneamiento","Defensoría del Pueblo, Gobierno Regional del Cusco",597,1,1,111,111,1,1,Provincia de Espinar,extractivo_caso (no ChatGPT),pobladores provincia espinar demandan empresa minera xtrata copper proyecto tintaya antapacay ampliar aportes desarrollo socioeconomico cerrar o reubicar presa relaves huinipampa asumir compromisos ambientales ante posibles impactos susceptibles generarse como consecuencia sus actividades zona
Caso_606,La comunidad campesina de Chavín protesta contra la empresa minera Milpo por incumplimiento de acuerdos suscritos entre las partes y la necesidad de establecer un nuevo convenio,Sí,No,No,"Comunidad campesina de Chavín, distrito de Chavín, provincia de Chincha",['Atacocha'],['Nexa Resources'],1,2013-05-31,2013-05-31,Caso_606,AREQUIPA,SOCIOAMBIENTAL,La comunidad campesina de Chavín protesta contra la empresa minera Milpo por incumplimiento de acuerdos suscritos entre las partes y la necesidad de establecer un nuevo convenio,,"comunidad campesina de Chavín, Asociación del Valle de Topará, Empresa Minera Milpo","Municipalidad Distrital de Chavín, Ministerio de Energía y Minas ( MINEM), Presidencia del Consejo de Ministros (PCM), Federación de Pescadores Artesanales de Ribera y anexos de la provincia de Chincha ( FEPARACH)",Defensoría del Pueblo (DP),606,1,1,111,111,1,1,"Comunidad campesina de Chavín, distrito de Chavín, provincia de Chincha",extractivo_caso (no ChatGPT),comunidad campesina chavin protesta contra empresa minera milpo incumplimiento acuerdos suscritos entre partes necesidad establecer nuevo convenio
Caso_638,"Pobladores del Centro Poblado de San Juan de Milpo - Anexo de la Comunidad Campesina San Juan de Yarusyacán - demandan a la Cía. Minera Milpo SAA – Unidad Minera El Porvenir, la atención de problemática sobre uso de territorio para el desarrollo de las actividades mineras que realiza en la zona",Sí,No,No,Distrito San Francisco de Asis de Yarusyacan,['Atacocha'],['Nexa Resources'],1,2013-05-31,2013-05-31,Caso_638,AREQUIPA,SOCIOAMBIENTAL,"Pobladores del Centro Poblado de San Juan de Milpo - Anexo de la Comunidad Campesina San Juan de Yarusyacán - demandan a la Cía. Minera Milpo SAA – Unidad Minera El Porvenir, la atención de problemática sobre uso de territorio para el desarrollo de las actividades mineras que realiza en la zona",,"Centro Poblado San Juan de Milpo, Cía. Minera Milpo SAAA","Comunidad Campesina de Yarusyacán, Oficina General de Gestión Social del Ministerio de Energía y Minas","Defensoría del Pueblo. de terreno que requiere la empresa para la ampliación de su relavera, terreno que habría sido adquirido a la Comunidad Campesina San Francisco de Asís de Yarusyacán, pero que era usufructuada por la Comunidad Campesina San Juan de Milpo, no pudo concretarse debido a que la empresa no habría cumplido con el depósito de los dos millones de NS a favor de las tres personas designadas por asamblea comunal, pues se niegan a que este depósito se realice en una cuenta a nombre de la comunidad. Ante dicho impase se llegaron a los siguientes acuerdos: i) la Cía. Minera Milpo SAA depositará el monto de dos millones de Nuevos Soles a la cuenta que designe la comunidad campesina, para lo cual deberían comunicar los datos bancarios hasta el 21 de mayo, ii) el depósito se deberá efectuar a más tardar el 23 de mayo, iii) La comunidad alcanzará al Gobierno Regional de Pasco su propuesta de negociación por las 128 has. a más tardar el 23 de mayo, iv) Ambas partes discutirían internamente lo relativo al cumplimiento de compromisos anteriores (desde el 2007 a la fecha), y v) sostener la próxima reunión el 24 de mayo, en el local comunal",638,1,1,111,111,1,1,"CP San Juan de Milpo, distrito San Francisco de Asís de Yarusyacán, provincia de Pasco",extractivo_caso (no ChatGPT),pobladores centro poblado san juan milpo anexo comunidad campesina san juan yarusyacan demandan cia minera milpo saa unidad minera porvenir atencion problematica sobre uso territorio para desarrollo actividades mineras realiza zona
Caso_588,"El Pueblo de Hualgayoc demanda el cumplimiento de compromisos que la Empresa Minera Gold Fields – La Cima SAA (Proyecto Minero Cerro Corona) asumió respecto al abastecimiento de agua, energía eléctrica, rajaduras en viviendas producto de las actividades mineras desarrolladas en la zona",Sí,No,No,Distrito de Hualgayoc,['Cerro Corona'],['Gold Fields'],1,2013-05-31,2013-05-31,Caso_588,AREQUIPA,SOCIOAMBIENTAL,"El Pueblo de Hualgayoc demanda el cumplimiento de compromisos que la Empresa Minera Gold Fields – La Cima SAA (Proyecto Minero Cerro Corona) asumió respecto al abastecimiento de agua, energía eléctrica, rajaduras en viviendas producto de las actividades mineras desarrolladas en la zona",,"Municipalidad Distrital de Hualgayoc, Empresa Minera Gold Fields–La Cima S.A - Proyecto Cerro Corona, Rondas Campesinas, Mesa de Diálogo de Hualgayoc, Frente Único de los Interés del Pueblo de Hualgayoc, Frente de Defensa de los Intereses de Hualgayoc","Gobernación y Asociación de Trabajadores del Pueblo de Hualgayoc, Gobierno Regional de Cajamarca, Ministerio de Vivienda, Construcción y Saneamiento, Servicio Nacional de Capacitación para la Industria de la Construcción, OSINERGMIN, Instituto Geológico Minero Metalúrgico - INGEMMET, Autoridad Nacional del Agua - ANA","Oficina Nacional de Diálogo y Sostenibilidad de la Presidencia de Consejo de Ministros, Defensoría del Pueblo. Cornejo, y iii) el Instituto Geofísico, Ministerio de Vivienda y Ministerio de Ambiente, en un lapso de 30 días acreditaran a sus representantes. En calidad de veedor se acordó la participación dentro de éste comité de un representante de los afectados, quienes deberán acreditar al mismo dentro del lapso de 30 días. Tras la conformación del citado comité, los participantes de la reunión y algunos pobladores acudieron a verificar las casas afectadas. No se ha establecido",588,1,1,111,111,1,1,"Distrito de Hualgayoc, provincia de Hualgayoc",extractivo_caso (no ChatGPT),pueblo hualgayoc demanda cumplimiento compromisos empresa minera gold fields cima saa proyecto minero cerro corona asumio respecto abastecimiento agua energia electrica rajaduras viviendas producto actividades mineras desarrolladas zona
Caso_639,"Autoridades y pobladores de la Comunidad Campesina de San Agustín de Huaychao demandan la intervención de las autoridades ante los problemas de incumplimiento de convenios, la falta de construcción del sistema de agua potable y la afectación al ambiente que ocasionan las actividades que viene desarrollando la Empresa Administradora Chungar SAC en la zona",Sí,No,No,"Comunidad Campesina de San Agustín de Huaychao, distrito de Huayllay, provincia de Pasco",['Chungar'],['Volcan'],1,2013-05-31,2013-05-31,Caso_639,AREQUIPA,SOCIOAMBIENTAL,"Autoridades y pobladores de la Comunidad Campesina de San Agustín de Huaychao demandan la intervención de las autoridades ante los problemas de incumplimiento de convenios, la falta de construcción del sistema de agua potable y la afectación al ambiente que ocasionan las actividades que viene desarrollando la Empresa Administradora Chungar SAC en la zona","es ante los problemas de incumplimiento de convenios, la falta de construcción del sistema de agua potable y la afectación al ambiente que ocasionan las actividades que viene desarrollando la Empresa Administradora Chungar SAC en la zona","Comunidad Campesina de San Agustín de Huaychao, Empresa Administradora Chungar SAC","Oficina General de Gestión Social del Ministerio de Energía y Minas, Organismo de Evaluación y Fiscalización Ambiental del Ministerio del Ambiente","Gobernador de Pasco. La presidenta del Comité de Lucha de San Agustín de Huaychao indicó que el 24 de mayo sostuvieron una reunión en el Caserío de Santo Rosario con representantes de la empresa administradora Chungar SAC. En la misma le expresaron el malestar ante el incumplimiento de acuerdos y compromisos, como la contaminación que generaría sus actividades, por lo que demandaron la adopción de acciones inmediatas, dado que los comuneros se encuentran evaluando convocar a un nuevo paro indefinido",639,1,1,111,111,1,1,"Comunidad Campesina de San Agustín de Huaychao, distrito de Huayllay, provincia de Pasco",extractivo_caso (no ChatGPT),autoridades pobladores comunidad campesina san agustin huaychao demandan intervencion autoridades ante problemas incumplimiento convenios falta construccion sistema agua potable afectacion ambiente ocasionan actividades viene desarrollando empresa administradora chungar sac zona
